,Close,Open,High,Low,Change
count,2516.0,2516.0,2516.0,2516.0,2516.0
mean,1765.76531399046,1765.363147853738,1774.3072535771057,1755.768712241654,0.0004601748807631174
std,565.4082418858658,565.802603675374,566.4774528136238,564.6458555301779,0.010482911011241276
min,676.53,679.28,695.27,666.79,-0.0666
25%,1278.315,1278.175,1286.1599999999999,1268.2350000000001,-0.0036
50%,1805.4499999999998,1806.27,1810.45,1800.675,0.0006
75%,2124.2225,2122.4925,2129.1499999999996,2113.325,0.0053
max,2930.75,2936.76,2940.91,2927.11,0.0708
