,Close,Open,High,Low,Change
count,2475.0,2475.0,2475.0,2475.0,2475.0
mean,585.8915838383833,587.3915111111121,589.9849535353535,582.352719191919,0.0003678787878787873
std,112.00175571436722,111.97698038668116,112.76158994696945,110.88622475064346,0.012599326892422975
min,339.76,337.38,339.77,334.15,-0.0828
25%,506.43,508.03499999999997,509.79,504.03499999999997,-0.00575
50%,541.46,543.24,545.17,539.13,0.0014000000000000002
75%,668.42,669.14,672.7049999999999,664.1,0.0073
max,927.05,928.72,932.01,918.79,0.0583
