,Close,Open,High,Low,Change
count,2474.0,2474.0,2474.0,2474.0,2474.0
mean,22796.31822150362,22809.5461721908,22933.345937752627,22655.083880355684,0.0003184721099434111
std,3486.37437305111,3492.9286238554296,3493.640269030133,3482.821255656592,0.012722190175307133
min,11344.58,11542.88,11747.11,11344.58,-0.0584
25%,20810.122499999998,20791.6475,20944.27,20675.489999999998,-0.0064
50%,22625.29,22650.085,22748.565000000002,22513.245,0.0005
75%,24167.54,24235.7425,24322.68,24053.8925,0.0070999999999999995
max,33154.12,33335.48,33484.08,32897.04,0.0741
