,Close,Open,High,Low,Change
count,2474.0,2474.0,2474.0,2474.0,2474.0
mean,1965.9529223928876,1966.9721099434119,1975.6637873888424,1955.310363783349,0.0002934114793856099
std,269.042499127152,269.5430364784555,268.63137664735854,270.1986908878168,0.010218129322178741
min,1018.81,993.85,1029.18,992.69,-0.0622
25%,1878.1574999999998,1878.5025,1889.3425,1864.8925,-0.0044
50%,1982.005,1984.2350000000001,1991.0549999999998,1973.8400000000001,0.0004
75%,2067.4125000000004,2068.235,2075.9375,2058.5425,0.005699999999999999
max,2598.19,2590.41,2607.1,2587.55,0.0591
