,Close,Open,High,Low,Change
count,2516.0,2516.0,2516.0,2516.0,2516.0
mean,4133.714340222574,4133.138434022258,4155.716259936403,4107.996283783783,0.000639507154213036
std,1720.7125424315805,1721.7957998904315,1728.6235124262084,1712.9673237859936,0.01172522646186658
min,1268.64,1284.84,1316.15,1265.52,-0.069
25%,2689.225,2683.28,2700.62,2669.685,-0.0043
50%,4061.505,4065.2749999999996,4084.03,4040.395,0.001
75%,5123.8925,5132.887500000001,5147.03,5097.9725,0.0066
max,8109.69,8094.2,8133.3,8079.31,0.0707
