,영업일,인덱스,상승예측확률,실제수익률
0,381~400일 차,KOSDAQ,1.0,0.131405876323881
0,381~400일 차,NASDAQ,0.9975,0.008741206533934731
0,381~400일 차,HSI,0.0009,-0.027975184363862482
0,381~400일 차,S&P500,0.0,-0.005316981108415053
0,401~420일 차,KOSPI,0.0009,0.07635547610444471
0,401~420일 차,KOSDAQ,0.0,0.08158607350096725
0,401~420일 차,NASDAQ,0.0025,0.02889084179750201
0,401~420일 차,HSI,0.9502,0.09105898760487752
0,401~420일 차,S&P500,0.2393,0.04580162298151924
0,421~440일 차,KOSPI,0.0,0.05345998982224631
0,421~440일 차,KOSDAQ,0.0006,0.36999188371578207
0,421~440일 차,NASDAQ,0.0022,0.02665423059963401
0,421~440일 차,HSI,0.9817,0.12660434621443817
0,421~440일 차,S&P500,0.0,0.016312599375948755
0,441~460일 차,KOSPI,0.9875,-0.05505647580761697
0,441~460일 차,KOSDAQ,0.0,-0.10724338282763068
0,441~460일 차,NASDAQ,0.0164,0.031486412908974026
0,441~460일 차,HSI,0.0,-0.008051551363806753
0,441~460일 차,S&P500,0.0158,0.03982430970412554
0,461~480일 차,KOSPI,1.0,0.06759625545922998
0,461~480일 차,KOSDAQ,1.0,0.40139674093781186
0,461~480일 차,NASDAQ,0.0,0.01076513485357089
0,461~480일 차,HSI,0.0046,0.2290178079759415
0,461~480일 차,S&P500,0.0002,0.017803969167768052
0,481~500일 차,KOSPI,0.0,-0.09093923779399016
0,481~500일 차,KOSDAQ,0.0,-0.038875598086124175
0,481~500일 차,NASDAQ,0.6321,0.07404107653232161
0,481~500일 차,HSI,0.0,-0.09793745211889626
0,481~500일 차,S&P500,0.0,0.06969857101966226
0,501~520일 차,KOSPI,1.0,0.07757131740277456
0,501~520일 차,KOSDAQ,1.0,0.0030390518158334157
0,501~520일 차,NASDAQ,0.0,-0.024093094310535634
0,501~520일 차,HSI,0.1039,-0.04793389970562756
0,501~520일 차,S&P500,0.0,-0.056554291708661664
0,521~540일 차,KOSPI,0.0,0.06564920187082213
0,521~540일 차,KOSDAQ,0.6322,0.1262704401018735
0,521~540일 차,NASDAQ,0.0,-0.041935185638381944
0,521~540일 차,HSI,0.8647,-0.05385968628443483
0,521~540일 차,S&P500,0.0183,-0.04040499516274321
0,541~560일 차,KOSPI,0.0025,-0.009643391677645163
0,541~560일 차,KOSDAQ,0.6321,-0.03379758975855873
0,541~560일 차,NASDAQ,0.9997,0.010231050608880965
0,541~560일 차,HSI,0.666,0.036462966130687446
