?ÅÏóÖ???∏Îç±???ÅÏäπ?àÏ∏°?ïÎ•†,?§Ï†ú?òÏùµÎ•?,
421~440??Ï∞?KOSPI,0.0009,0.076355476
421~440??Ï∞?KOSDAQ,0,0.081586074
421~440??Ï∞?NASDAQ,0.0021,0.026654231
421~440??Ï∞?HSI,0.9502,0.091058988
421~440??Ï∞?S&P500,0,0.016312599
441~460??Ï∞?KOSPI,0,0.05345999
441~460??Ï∞?KOSDAQ,0,0.369991884
441~460??Ï∞?NASDAQ,0.0158,0.031486413
441~460??Ï∞?HSI,0.9502,0.126604346
441~460??Ï∞?S&P500,0.0158,0.03982431
461~480??Ï∞?KOSPI,0.3224,-0.055056476
461~480??Ï∞?KOSDAQ,0,-0.107243383
461~480??Ï∞?NASDAQ,0,0.010765135
461~480??Ï∞?HSI,0,-0.008051551
461~480??Ï∞?S&P500,0,0.017803969
481~500??Ï∞?KOSPI,1,0.067596255
481~500??Ï∞?KOSDAQ,1,0.401396741
481~500??Ï∞?NASDAQ,0.6321,0.074041077
481~500??Ï∞?HSI,0.0052,0.229017808
481~500??Ï∞?S&P500,0,0.069698571
501~520??Ï∞?KOSPI,0,-0.090939238
501~520??Ï∞?KOSDAQ,0,-0.038875598
501~520??Ï∞?NASDAQ,0,-0.024093094
501~520??Ï∞?HSI,0,-0.097937452
501~520??Ï∞?S&P500,0,-0.056554292
521~540??Ï∞?KOSPI,1,0.077571317
521~540??Ï∞?KOSDAQ,1,0.003039052
521~540??Ï∞?NASDAQ,0.0001,-0.041935186
521~540??Ï∞?HSI,0.1039,-0.0479339
521~540??Ï∞?S&P500,0.0119,-0.040404995
541~560??Ï∞?KOSPI,0,0.065649202
541~560??Ï∞?KOSDAQ,0,0.12627044
541~560??Ï∞?NASDAQ,0.9997,0.010231051
541~560??Ï∞?HSI,0.8647,-0.053859686
541~560??Ï∞?S&P500,0.9997,0.01479787
561~580??Ï∞?KOSPI,0.0025,-0.009643392
561~580??Ï∞?KOSDAQ,0,-0.03379759
561~580??Ï∞?NASDAQ,0.9502,0.055837936
561~580??Ï∞?HSI,0.6345,0.036462966
561~580??Ï∞?S&P500,0.3181,0.032304359
581~600??Ï∞?KOSPI,1,-0.12064389
581~600??Ï∞?KOSDAQ,0.0382,-0.093427036
581~600??Ï∞?NASDAQ,0,0.044884794
581~600??Ï∞?HSI,0,-0.112627869
581~600??Ï∞?S&P500,0,0.018211921
601~620??Ï∞?KOSPI,0.9975,-0.075179596
601~620??Ï∞?KOSDAQ,0.9975,-0.08029093
601~620??Ï∞?NASDAQ,0.6321,0.052806664
601~620??Ï∞?HSI,0.9997,0.046641373
601~620??Ï∞?S&P500,0.8647,0.048918898
621~640??Ï∞?KOSPI,0.9884,-0.045377699
621~640??Ï∞?KOSDAQ,0.6346,-0.0505418
621~640??Ï∞?NASDAQ,0,-0.003199181
621~640??Ï∞?HSI,0.1353,-0.068116579
621~640??Ï∞?S&P500,0,0.018879393
641~660??Ï∞?KOSPI,0.9936,0.079304438
641~660??Ï∞?KOSDAQ,0.9842,0.180801155
641~660??Ï∞?NASDAQ,0,0.015648154
641~660??Ï∞?HSI,0.3676,-0.033196161
641~660??Ï∞?S&P500,0.0357,0.02084352
661~680??Ï∞?KOSPI,0.3496,-0.155707874
661~680??Ï∞?KOSDAQ,0,-0.210812487
661~680??Ï∞?NASDAQ,0.9999,-0.04845009
661~680??Ï∞?HSI,1,-0.117972104
661~680??Ï∞?S&P500,0.2347,-0.048318727
