영업일,인덱스,상승예측확률,실제수익률
521~540일 차,NASDAQ,0.0,-0.041935185638381944
521~540일 차,HSI,0.8647,-0.05385968628443483
521~540일 차,S&P500,0.0183,-0.04040499516274321
541~560일 차,KOSPI,0.0025,-0.009643391677645163
541~560일 차,KOSDAQ,0.6321,-0.03379758975855873
541~560일 차,NASDAQ,0.9997,0.010231050608880965
541~560일 차,HSI,0.8985,0.036462966130687446
541~560일 차,S&P500,0.9997,0.014797870287329484
561~580일 차,KOSPI,1.0,-0.12064388997363606
561~580일 차,KOSDAQ,0.1222,-0.09342703596527491
561~580일 차,NASDAQ,0.9502,0.05583793562956285
561~580일 차,HSI,0.264,-0.1126278688605209
561~580일 차,S&P500,0.3181,0.03230435899440498
581~600일 차,KOSPI,0.9975,-0.07517959625958182
581~600일 차,KOSDAQ,0.9991,-0.0802909298345692
581~600일 차,NASDAQ,0.0,0.04488479390466682
581~600일 차,HSI,0.9999,0.04664137340275376
581~600일 차,S&P500,0.0,0.018211920529801473
601~620일 차,KOSPI,0.9884,-0.045377698810100786
601~620일 차,KOSDAQ,0.8671,-0.05054179971732198
601~620일 차,NASDAQ,0.6321,0.05280666414443491
601~620일 차,HSI,0.1353,-0.06811657929577075
601~620일 차,S&P500,0.8647,0.048918898331828053
621~640일 차,KOSPI,0.9936,0.07930443798318576
621~640일 차,KOSDAQ,0.9842,0.1808011548177555
621~640일 차,NASDAQ,0.0,-0.003199181424024533
621~640일 차,HSI,0.3676,-0.03319616054848307
621~640일 차,S&P500,0.0,0.018879393386803445
641~660일 차,KOSPI,0.3538,-0.1557078739906841
641~660일 차,KOSDAQ,0.0,-0.21081248658574392
641~660일 차,NASDAQ,0.0315,0.015648153827776623
641~660일 차,HSI,0.3679,-0.11797210395995483
641~660일 차,S&P500,0.0357,0.02084351985805233
661~680일 차,KOSPI,1.0,-0.08651097769512062
661~680일 차,KOSDAQ,1.0,-0.16129707112970715
661~680일 차,NASDAQ,0.9999,-0.048450090282141756
661~680일 차,HSI,1.0,0.11273289740421366
661~680일 차,S&P500,0.2347,-0.04831872714188534
681~700일 차,KOSPI,0.0009,-0.042133996378476035
681~700일 차,KOSDAQ,0.048,-0.12232551780709522
681~700일 차,NASDAQ,0.9999,-0.0739013566925536
681~700일 차,HSI,0.0016,0.02582254352679403
681~700일 차,S&P500,0.9999,-0.045091395175329674
