Date,Close,Open,High,Low,Volume,Change
1990-12-20,104.39,104.3,104.39,99.98,0.0,0.0441
1990-12-21,109.13,109.07,109.13,103.73,0.0,0.0454
1990-12-24,114.55,113.57,114.55,109.13,0.0,0.049699999999999994
1990-12-25,120.25,120.09,120.25,114.55,0.0,0.049800000000000004
1990-12-26,125.27,125.27,125.27,120.25,0.0,0.0417
1990-12-27,125.28,125.27,125.28,125.27,0.0,0.0001
1990-12-28,126.45,126.39,126.45,125.28,0.0,0.009300000000000001
1990-12-31,127.61,126.56,127.61,126.48,0.0,0.0092
1991-01-02,128.84,127.61,128.84,127.61,0.0,0.0096
1991-01-03,130.14,128.84,130.14,128.84,0.0,0.0101
1991-01-04,131.44,131.27,131.44,130.14,0.0,0.01
1991-01-07,132.06,131.99,132.06,131.45,0.0,0.004699999999999999
1991-01-08,132.68,132.62,132.68,132.06,0.0,0.004699999999999999
1991-01-09,133.34,133.3,133.34,132.68,0.0,0.005
1991-01-10,133.97,133.93,133.97,133.34,0.0,0.004699999999999999
1991-01-11,134.6,134.61,134.61,134.51,0.0,0.004699999999999999
1991-01-14,134.67,134.11,135.19,134.11,0.0,0.0005
1991-01-15,134.74,134.21,134.74,134.19,0.0,0.0005
1991-01-16,134.24,134.19,134.74,134.14,0.0,-0.0037
1991-01-17,134.25,133.67,134.25,133.65,0.0,0.0001
1991-01-18,134.24,133.7,134.25,133.67,0.0,-0.0001
1991-01-21,134.24,133.7,134.24,133.66,0.0,0.0
1991-01-22,133.72,133.72,134.24,133.66,0.0,-0.0039000000000000003
1991-01-23,133.17,133.17,133.72,133.14,0.0,-0.0040999999999999995
1991-01-24,132.61,132.61,133.17,132.57,0.0,-0.0042
1991-01-25,132.05,132.05,132.07,132.03,0.0,-0.0042
1991-01-28,131.46,131.46,131.55,131.46,0.0,-0.0045000000000000005
1991-01-29,130.95,130.95,130.97,130.95,0.0,-0.0039000000000000003
1991-01-30,130.44,130.44,130.95,130.41,0.0,-0.0039000000000000003
1991-01-31,129.97,129.93,130.46,129.93,0.0,-0.0036
1991-02-01,129.51,129.5,129.97,129.45,0.0,-0.0034999999999999996
1991-02-04,129.05,129.05,129.58,129.05,0.0,-0.0036
1991-02-05,128.58,128.56,128.58,128.53,0.0,-0.0036
1991-02-06,129.14,129.13,129.15,128.06,0.0,0.0044
1991-02-07,129.79,129.74,129.79,129.14,0.0,0.005
1991-02-08,130.38,130.36,130.39,129.79,0.0,0.0045000000000000005
1991-02-11,130.97,130.92,130.97,130.39,0.0,0.0045000000000000005
1991-02-12,131.35,131.54,131.56,130.97,0.0,0.0029
